o_lat,o_lon,d_lat,d_lon,dest_name,cat,distance_m,duration_s,static_duration_s,status_code,condition,duration_min,static_duration_min,origin_name
19.287,-99.655,19.2522902,-99.6409307,Centro Educativo De Formación Integral Frater,school,4725,939.0,939.0,0,ROUTE_EXISTS,15.65,15.65,O1_Conjunto
19.287,-99.655,19.2536844,-99.6416297,Colegio Mexiquense Universitario,school,4533,894.0,894.0,0,ROUTE_EXISTS,14.9,14.9,O1_Conjunto
19.287,-99.655,19.2693578,-99.6858625,Ceaja Profesor Carlos Hanck Gonzalez Turno Matutino,school,6960,1086.0,1086.0,0,ROUTE_EXISTS,18.1,18.1,O1_Conjunto
19.287,-99.655,19.3124329,-99.6296361,Escuela Primaria Nezahualcoyotl Turno Matutino,school,6931,1016.0,1016.0,0,ROUTE_EXISTS,16.933333333333334,16.933333333333334,O1_Conjunto
19.287,-99.655,19.2601409,-99.6352705,Josefa Ortiz De Dominguez 15EBA1978G,school,4668,970.0,970.0,0,ROUTE_EXISTS,16.166666666666668,16.166666666666668,O1_Conjunto
19.287,-99.655,19.2597874,-99.6317874,Escuela Primaria Xinantecatl,school,4735,951.0,951.0,0,ROUTE_EXISTS,15.85,15.85,O1_Conjunto
19.287,-99.655,19.300867,-99.6265379,Escuela De Futbol Planeta 7,school,4856,740.0,740.0,0,ROUTE_EXISTS,12.333333333333334,12.333333333333334,O1_Conjunto
19.287,-99.655,19.2614839,-99.6322434,Colegio De Las Americas,school,4446,873.0,873.0,0,ROUTE_EXISTS,14.55,14.55,O1_Conjunto
19.287,-99.655,19.3027465,-99.6253439,Lic. Adolfo López Mateos,school,5192,869.0,869.0,0,ROUTE_EXISTS,14.483333333333333,14.483333333333333,O1_Conjunto
19.287,-99.655,19.3159769,-99.6359792,Colegio De Notarios,school,6754,934.0,934.0,0,ROUTE_EXISTS,15.566666666666666,15.566666666666666,O1_Conjunto
19.287,-99.655,19.2796675,-99.68421,Escuela Secundaria Tecnica Numero 159 Octavio Paz 15dst0169p,school,5785,931.0,931.0,0,ROUTE_EXISTS,15.516666666666667,15.516666666666667,O1_Conjunto
19.287,-99.655,19.2604261,-99.6437488,Bachillerato Inteligente De Mexico,school,3750,782.0,782.0,0,ROUTE_EXISTS,13.033333333333333,13.033333333333333,O1_Conjunto
19.287,-99.655,19.2737533,-99.6201266,Telesecundaria Cuitlahuac,school,4534,844.0,844.0,0,ROUTE_EXISTS,14.066666666666666,14.066666666666666,O1_Conjunto
19.287,-99.655,19.3208177,-99.6576034,Escuela Secundaria 706 Mario Colin Sanchez,school,6087,959.0,959.0,0,ROUTE_EXISTS,15.983333333333333,15.983333333333333,O1_Conjunto
19.287,-99.655,19.3168174,-99.6698643,Escuela Secundaria Oficial No 0431 Emiliano Zapata,school,7285,1127.0,1127.0,0,ROUTE_EXISTS,18.783333333333335,18.783333333333335,O1_Conjunto
19.287,-99.655,19.2601211,-99.6352608,"CEPJA ""Josefa Ortiz De Dominguez""",school,4669,970.0,970.0,0,ROUTE_EXISTS,16.166666666666668,16.166666666666668,O1_Conjunto
19.287,-99.655,19.2916377,-99.6859525,Centro De Educacion Para La Atencion De Jovenes Y Adultos General Jose Vicente Villada,school,4662,892.0,892.0,0,ROUTE_EXISTS,14.866666666666667,14.866666666666667,O1_Conjunto
